2025-06-15 11:59:46,848 - INFO - Запуск парсера с запросом: кран шаровой, max_products: 0, resume: False, links_file: None
2025-06-15 11:59:46,848 - INFO - Инициализация браузера
2025-06-15 11:59:46,848 - INFO - Запуск Playwright и настройка браузера
2025-06-15 11:59:47,560 - INFO - Переход на сайт Ozon
2025-06-15 11:59:49,114 - INFO - Ожидание загрузки страницы
2025-06-15 11:59:56,125 - INFO - Ввод поискового запроса: кран шаровой
2025-06-15 12:00:00,941 - INFO - Поисковый запрос отправлен
2025-06-15 12:00:00,941 - INFO - Браузер успешно открыт
2025-06-15 12:00:00,952 - INFO - Прокрутка страницы, собрано ссылок: 0
2025-06-15 12:00:01,495 - INFO - Собрано новых ссылок: 48, всего: 24
2025-06-15 12:00:01,497 - INFO - Прокрутка страницы, собрано ссылок: 24
2025-06-15 12:00:02,024 - INFO - Собрано новых ссылок: 48, всего: 24
2025-06-15 12:00:02,027 - INFO - Прокрутка страницы, собрано ссылок: 24
2025-06-15 12:00:02,550 - INFO - Собрано новых ссылок: 72, всего: 36
2025-06-15 12:00:02,552 - INFO - Прокрутка страницы, собрано ссылок: 36
2025-06-15 12:00:03,087 - INFO - Собрано новых ссылок: 96, всего: 48
2025-06-15 12:00:03,088 - INFO - Прокрутка страницы, собрано ссылок: 48
2025-06-15 12:00:03,612 - INFO - Собрано новых ссылок: 96, всего: 48
2025-06-15 12:00:03,615 - INFO - Прокрутка страницы, собрано ссылок: 48
2025-06-15 12:00:04,127 - INFO - Собрано новых ссылок: 96, всего: 60
2025-06-15 12:00:04,128 - INFO - Прокрутка страницы, собрано ссылок: 60
2025-06-15 12:00:04,710 - INFO - Собрано новых ссылок: 96, всего: 72
2025-06-15 12:00:04,712 - INFO - Прокрутка страницы, собрано ссылок: 72
2025-06-15 12:00:05,253 - INFO - Собрано новых ссылок: 96, всего: 72
2025-06-15 12:00:05,254 - INFO - Прокрутка страницы, собрано ссылок: 72
2025-06-15 12:00:05,783 - INFO - Собрано новых ссылок: 96, всего: 72
2025-06-15 12:00:05,786 - INFO - Прокрутка страницы, собрано ссылок: 72
2025-06-15 12:00:06,330 - INFO - Собрано новых ссылок: 96, всего: 84
2025-06-15 12:00:06,331 - INFO - Прокрутка страницы, собрано ссылок: 84
2025-06-15 12:00:06,841 - INFO - Собрано новых ссылок: 96, всего: 96
2025-06-15 12:00:06,843 - INFO - Прокрутка страницы, собрано ссылок: 96
2025-06-15 12:00:07,373 - INFO - Собрано новых ссылок: 96, всего: 96
2025-06-15 12:00:07,375 - INFO - Прокрутка страницы, собрано ссылок: 96
2025-06-15 12:00:07,907 - INFO - Собрано новых ссылок: 96, всего: 96
2025-06-15 12:00:07,909 - INFO - Прокрутка страницы, собрано ссылок: 96
2025-06-15 12:00:08,425 - INFO - Собрано новых ссылок: 96, всего: 108
2025-06-15 12:00:08,427 - INFO - Прокрутка страницы, собрано ссылок: 108
2025-06-15 12:00:08,948 - INFO - Собрано новых ссылок: 96, всего: 120
2025-06-15 12:00:08,950 - INFO - Прокрутка страницы, собрано ссылок: 120
2025-06-15 12:00:09,475 - INFO - Собрано новых ссылок: 96, всего: 120
2025-06-15 12:00:09,477 - INFO - Прокрутка страницы, собрано ссылок: 120
2025-06-15 12:00:09,996 - INFO - Собрано новых ссылок: 96, всего: 132
2025-06-15 12:00:09,998 - INFO - Прокрутка страницы, собрано ссылок: 132
2025-06-15 12:00:10,524 - INFO - Собрано новых ссылок: 96, всего: 132
2025-06-15 12:00:10,525 - INFO - Прокрутка страницы, собрано ссылок: 132
2025-06-15 12:00:11,051 - INFO - Собрано новых ссылок: 96, всего: 132
2025-06-15 12:00:11,053 - INFO - Прокрутка страницы, собрано ссылок: 132
2025-06-15 12:00:11,576 - INFO - Собрано новых ссылок: 96, всего: 144
2025-06-15 12:00:11,578 - INFO - Прокрутка страницы, собрано ссылок: 144
2025-06-15 12:00:12,125 - INFO - Собрано новых ссылок: 96, всего: 156
2025-06-15 12:00:12,127 - INFO - Прокрутка страницы, собрано ссылок: 156
2025-06-15 12:00:12,664 - INFO - Собрано новых ссылок: 96, всего: 168
2025-06-15 12:00:12,666 - INFO - Прокрутка страницы, собрано ссылок: 168
2025-06-15 12:00:13,191 - INFO - Собрано новых ссылок: 96, всего: 168
2025-06-15 12:00:13,193 - INFO - Прокрутка страницы, собрано ссылок: 168
2025-06-15 12:00:13,714 - INFO - Собрано новых ссылок: 96, всего: 168
2025-06-15 12:00:13,716 - INFO - Прокрутка страницы, собрано ссылок: 168
2025-06-15 12:00:14,278 - INFO - Собрано новых ссылок: 96, всего: 180
2025-06-15 12:00:14,279 - INFO - Прокрутка страницы, собрано ссылок: 180
2025-06-15 12:00:14,801 - INFO - Собрано новых ссылок: 96, всего: 192
2025-06-15 12:00:14,802 - INFO - Прокрутка страницы, собрано ссылок: 192
